LSTM_AE_CICIDS2017_Val_Accuracy,LSTM_AE_CICIDS2017_Accuracy,LSTM_AE_CICIDS2018_Val_Accuracy,LSTM_AE_CICIDS2018_Accuracy,CNN_CICIDS2017_Val_Accuracy,CNN_CICIDS2017_Accuracy,CNN_CICIDS2018_Val_Accuracy,CNN_CICIDS2018_Accuracy,DNN_CICIDS2017_Val_Accuracy,DNN_CICIDS2017_Accuracy,DNN_CICIDS2018_Val_Accuracy,DNN_CICIDS2018_Accuracy
0.9848,0.9465,0.9628,0.9594,0.9958,0.9917,0.9778,0.9754,0.994,0.9786,0.9787,0.9704
0.9871,0.9632,0.9841,0.9781,0.9979,0.9973,0.9793,0.9787,0.9965,0.9944,0.979,0.9784
0.9888,0.9798,0.9858,0.9808,0.9984,0.9982,0.981,0.9797,0.9973,0.9962,0.9804,0.9792
0.9921,0.9829,0.9865,0.9815,0.9988,0.9986,0.9811,0.9809,0.9977,0.9969,0.9805,0.9799
0.9924,0.9847,0.987,0.9815,0.9987,0.9989,0.9807,0.9813,0.9982,0.9974,0.9816,0.9805
0.9925,0.9862,0.9874,0.9822,0.999,0.999,0.983,0.9817,0.9982,0.9977,0.9822,0.9811
0.9935,0.9882,0.9878,0.9821,0.9994,0.9991,0.9817,0.982,0.9985,0.998,0.9828,0.9815
0.9934,0.9886,0.988,0.9823,0.9994,0.9992,0.9837,0.9822,0.9984,0.9982,0.9825,0.9818
0.9948,0.989,0.988,0.9825,0.9994,0.9993,0.9827,0.9826,0.999,0.9983,0.9835,0.982
0.9947,0.991,0.9882,0.9848,0.9996,0.9994,0.9836,0.983,0.9987,0.9985,0.9831,0.9822
0.9956,0.9924,0.9881,0.9855,0.9995,0.9994,0.9835,0.9836,0.9991,0.9985,0.9831,0.9824
0.9959,0.993,0.9882,0.9861,0.9996,0.9994,0.9847,0.9841,0.9981,0.9986,0.9837,0.9825
0.996,0.9935,0.9889,0.9866,0.9994,0.9995,0.9849,0.9845,0.9959,0.9987,0.9821,0.9826
0.9963,0.9945,0.9893,0.9872,0.9997,0.9995,0.985,0.9849,0.9993,0.9987,0.9838,0.9827
0.9963,0.9944,0.9891,0.9873,0.9997,0.9995,0.986,0.9853,0.9991,0.9988,0.9844,0.9828
0.9965,0.9945,0.9889,0.9879,0.9995,0.9995,0.9866,0.9856,0.9966,0.9988,0.9844,0.9829
0.9965,0.9954,0.9897,0.9876,0.9992,0.9996,0.9872,0.9861,0.9991,0.9989,0.9843,0.983
0.9968,0.9957,0.99,0.9879,0.9995,0.9996,0.9877,0.9867,0.9993,0.9989,0.9846,0.9831
0.997,0.9958,0.9903,0.9885,0.9994,0.9996,0.9884,0.9871,0.9993,0.9989,0.9845,0.9832
0.9974,0.9957,0.9907,0.9884,0.9996,0.9996,0.9877,0.9873,0.9991,0.999,0.9845,0.9832
0.9973,0.9965,0.9904,0.9887,0.999,0.9996,0.9853,0.9876,0.9993,0.999,0.9844,0.9832
0.9973,0.9969,0.9902,0.9888,0.9997,0.9996,0.988,0.9878,0.9991,0.999,0.9836,0.9833
0.9979,0.997,0.9907,0.9891,0.9997,0.9996,0.989,0.9879,0.9994,0.999,0.9845,0.9834
0.998,0.9975,0.9908,0.9895,0.9997,0.9996,0.9886,0.988,0.9994,0.999,0.9841,0.9835
0.9982,0.9976,0.9905,0.9903,0.9997,0.9996,0.9881,0.9881,0.9987,0.999,0.9836,0.9835
0.9984,0.9978,0.9902,0.9901,0.9997,0.9996,0.9874,0.9883,0.9994,0.9991,0.9838,0.9836
0.9988,0.9978,0.9905,0.9908,0.9997,0.9996,0.9883,0.9884,0.9993,0.999,0.9836,0.9837
0.9997,0.998,0.9903,0.9906,0.9997,0.9997,0.9898,0.9885,0.9992,0.9991,0.9838,0.9838
0.9999,0.9984,0.9909,0.9905,0.9997,0.9997,0.9872,0.9885,0.9994,0.9991,0.9841,0.9839
0.9999,0.9987,0.991,0.9906,0.9997,0.9997,0.9887,0.9886,0.999,0.9991,0.9836,0.9838
