LSTM_AE_CICIDS2017_Val_Loss,LSTM_AE_CICIDS2017_Loss,LSTM_AE_CICIDS2018_Val_Loss,LSTM_AE_CICIDS2018_Loss,CNN_CICIDS2017_Val_Loss,CNN_CICIDS2017_Loss,CNN_CICIDS2018_Val_Loss,CNN_CICIDS2018_Loss,DNN_CICIDS2017_Val_Loss,DNN_CICIDS2017_Loss,DNN_CICIDS2018_Val_Loss,DNN_CICIDS2018_Loss
0.011,0.0175,0.0053,0.0054,0.011,0.0275,0.0602,0.0694,0.0023,0.0114,0.0103,0.016
0.0063,0.0079,0.0024,0.0024,0.0063,0.0079,0.0567,0.0589,0.0014,0.0024,0.0093,0.0102
0.0046,0.0057,0.0021,0.002,0.0046,0.0057,0.0501,0.0551,0.0011,0.0017,0.0084,0.0094
0.0036,0.0045,0.0019,0.0019,0.0036,0.0045,0.0484,0.0498,9.25E-04,0.0013,0.008,0.0089
0.0035,0.0038,0.0019,0.0019,0.0035,0.0038,0.0478,0.048,7.60E-04,0.0012,0.0077,0.0084
0.003,0.0031,0.0017,0.002,0.003,0.0031,0.0447,0.0469,7.17E-04,9.86E-04,0.0076,0.0081
0.0021,0.003,0.0017,0.0019,0.0021,0.003,0.0447,0.0458,6.64E-04,8.74E-04,0.0072,0.008
0.0024,0.0025,0.0016,0.0018,0.0024,0.0025,0.0434,0.0448,6.15E-04,7.93E-04,0.0071,0.0078
0.002,0.0022,0.0015,0.0018,0.002,0.0022,0.0432,0.0438,4.72E-04,7.30E-04,0.007,0.0076
0.0017,0.0023,0.0016,0.0018,0.0017,0.0023,0.0422,0.0427,5.45E-04,6.86E-04,0.0069,0.0074
0.0021,0.0021,0.0014,0.0019,0.0019,0.0021,0.0397,0.0413,4.34E-04,6.59E-04,0.0067,0.0073
0.0015,0.002,0.0018,0.0019,0.0015,0.002,0.0375,0.0397,9.57E-04,6.19E-04,0.0065,0.0072
0.0012,0.0019,0.0012,0.0016,0.0021,0.0019,0.0369,0.0384,0.0012,5.81E-04,0.0072,0.0071
0.0018,0.0018,0.0014,0.0015,0.0013,0.0018,0.0356,0.0372,3.92E-04,5.73E-04,0.0064,0.007
0.0017,0.0017,0.0014,0.0014,0.0015,0.0017,0.0341,0.0359,3.98E-04,5.50E-04,0.0062,0.0069
0.0017,0.0015,0.0013,0.0013,0.0015,0.0015,0.0321,0.0345,9.98E-04,5.38E-04,0.0061,0.0068
0.0018,0.0016,0.0012,0.0013,0.0021,0.0016,0.0311,0.0332,4.26E-04,5.24E-04,0.0061,0.0069
0.0017,0.0014,0.0012,0.0013,0.0017,0.0014,0.0293,0.032,3.36E-04,5.13E-04,0.0061,0.0067
0.0012,0.0016,0.0009,0.001,0.002,0.0016,0.0279,0.0311,3.44E-04,4.98E-04,0.0061,0.0067
0.0013,0.0014,0.0009,0.001,0.0013,0.0014,0.0299,0.0304,4.27E-04,4.83E-04,0.006,0.0067
0.0016,0.0013,0.0009,0.0009,0.0026,0.0013,0.0365,0.03,3.57E-04,4.68E-04,0.0061,0.0067
0.0009,0.0014,0.0009,0.0009,0.0011,0.0014,0.0293,0.0295,3.69E-04,4.74E-04,0.0063,0.0066
0.0008,0.0009,0.0009,0.0009,0.0012,0.0013,0.0268,0.0291,3.17E-04,4.66E-04,0.006,0.0066
0.0007,0.0008,0.0009,0.0009,0.0012,0.0012,0.0268,0.0288,3.14E-04,4.46E-04,0.0061,0.0065
0.0007,0.0007,0.001,0.0009,0.0011,0.0012,0.0273,0.0285,5.05E-04,4.55E-04,0.0062,0.0065
0.0006,0.0007,0.0009,0.0009,0.001,0.0012,0.0308,0.0282,3.20E-04,4.32E-04,0.0063,0.0066
0.0006,0.0006,0.0009,0.0009,0.0012,0.0012,0.028,0.028,3.43E-04,4.33E-04,0.0061,0.0064
0.0006,0.0006,0.0009,0.0009,0.0011,0.0012,0.025,0.0278,3.58E-04,4.26E-04,0.0063,0.0064
0.0005,0.0005,0.0009,0.0009,0.0012,0.0011,0.0308,0.0277,3.10E-04,4.34E-04,0.006,0.0064
0.0003,0.0005,0.0009,0.0009,0.001,0.0012,0.027,0.0274,4.41E-04,4.22E-04,0.0061,0.0064
